lastname,firstname,title,position,affiliation,role
Busse,Christian,Dr.,Regierungsdirektor,"Bundesministerium für Ernährung und Landwirtschaft, Bonn",Redaktion
Endres,Ewald,Prof. Dr.,,"Hochschule Weihenstephan-Triesdorf, Freising",Redaktion
Francois,Matthias,Dr.,Rechtsanwalt,,Redaktion
von Garmissen,Bernd,Dr.,Rechtsanwalt,,Redaktion
Glas,Ingo,Rechtsanwalt,,,Redaktion
Graß,Christiane,Rechtsanwältin,,,Redaktion
Haarstrich,Jens,Rechtsanwalt,,,Redaktion
Koch,Erich,Dr.,Ltd. Verwaltungsdirektor,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau, Kassel",Redaktion
Köpl,Christian,Dr.,Ministerialrat,"Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München",Redaktion
Martinez,Jose,Prof. Dr.,,"Institut für Landwirtschaftsrecht, Georg-August-Universitat Göttingen, Göttingen",Redaktion
Nies,Volkmar,Ltd. Landwirtschaftsdirektor,,"Landwirtschaftskammer NRW, Bonn",Redaktion
Stephany,Ralf,Rechtsanwalt/Steuerberater,,,Redaktion
Wedemeyer,Harald,Rechtsanwalt,,"Landvolk Niedersachsen, Hannover",Redaktion
Martinez,José,Prof. Dr.,Erster Schriftleiter,Institut für Landwirtschaftsrecht,Schriftleitung
Nies,Volkmar,LLD,Zweiter Schriftleiter,,Schriftleitung
Schell,Irina Valeska,,Assistenz der Schriftleitung,,Schriftleitung
,Deutsche Gesellschaft für Agrarrecht,,,Agrar- und Umweltrecht,Herausgeber